business_id,business_name,categories,business_stars,business_review_count,avg_review_stars,review_count_in_data,divergence_score,stars_norm,log_rc_norm,quadrant,date_first,date_last
--sXnWH9Xm6_NvIjyuA99w,Philadelphia,"Public Services & Government, Local Flavor",4.0,29,4.333333333333333,27,0.6014243690279868,0.75,0.14857563097201326,High Q / Low Pop (Oportunidad),2008-10-01 19:40:48,2020-07-17 02:28:03
-0M0b-XhtFagyLmsBtOe8w,Paris Wine Bar,"Bars, Nightlife, Restaurants, French, Wine Bars",3.5,18,3.6470588235294117,17,0.5504872897712363,0.625,0.0745127102287637,High Q / Low Pop (Oportunidad),2012-02-10 04:00:49,2018-05-13 04:00:27
-0TffRSXXIlBYVbb5AwfTg,IndeBlue Modern Indian Food & Spirits,"Cocktail Bars, Food Delivery Services, Nightlife, Breakfast & Brunch, Food, Bars, Event Planning & Services, Caterers, Restaurants, Indian",4.5,1097,4.3525773195876285,970,0.1426801268984429,0.875,0.7323198731015571,High Q / High Pop,2013-06-01 01:47:50,2022-01-18 18:56:27
-0eUa8TsXFFy0FCxHYmrjg,Waterfront Gourmet Cafe & Deli,"Caterers, Sandwiches, Delis, Restaurants, Cafes, Event Planning & Services",4.0,26,3.875,24,0.6185084718665912,0.75,0.13149152813340878,High Q / Low Pop (Oportunidad),2015-10-20 18:20:03,2019-09-14 17:35:02
-0fvhILrC9UsQ6gLNpZlTQ,David's Southern Fried Pies,"Desserts, Food",4.5,18,4.428571428571429,14,0.8004872897712363,0.875,0.0745127102287637,High Q / Low Pop (Oportunidad),2018-03-18 21:23:16,2019-01-10 15:58:37
-1B9pP_CrRBJYPICE5WbRA,Spice 28,"Asian Fusion, Restaurants, American (New), Thai, Szechuan, Chinese",4.0,822,3.8553888130968623,733,0.06442596988904525,0.75,0.6855740301109547,High Q / High Pop,2012-07-18 02:37:42,2021-12-17 17:37:16
-1b2kNOowsPrPpBOK4lNkQ,Usaquén,"Breakfast & Brunch, Colombian, Restaurants, Latin American",4.5,22,4.352941176470588,17,0.7695078731242222,0.875,0.1054921268757778,High Q / Low Pop (Oportunidad),2017-09-24 11:36:45,2018-06-27 00:02:29
-1yftDfgOUlxe_IACM5PFg,The Tubby Olive,"Specialty Food, Herbs & Spices, Food",4.5,22,4.545454545454546,22,0.7695078731242222,0.875,0.1054921268757778,High Q / Low Pop (Oportunidad),2012-10-18 12:59:00,2018-10-13 13:15:39
-1yt2mk60wWuQz9hPVKZCA,Totem Brand,"Leather Goods, Women's Clothing, Men's Clothing, Shopping, Fashion, Shoe Stores",4.5,17,4.333333333333333,12,0.8092542359332957,0.875,0.06574576406670435,High Q / Low Pop (Oportunidad),2013-10-13 13:54:23,2021-09-21 17:02:38
-2-ih3mE8KPyeKVIzpBfPQ,SkyGarten,"American (Traditional), Bars, Restaurants, Nightlife, Beer Gardens",3.5,109,3.560747663551402,107,0.2657469252176454,0.625,0.3592530747823546,High Q / Low Pop (Oportunidad),2016-06-24 16:17:51,2018-11-16 19:23:22
